,X,Y,Z
0,269,1,1
1,6113462,1108075,1
2,3349625,1108075,1
3,530225,1108075,1
4,6340475,1954213,1
5,6340475,2298700,1
6,6340475,2643188,1
7,6340475,2989263,1
8,6340475,3335337,1
9,6340475,3679825,1
10,6340475,4025900,1
11,6340475,4370387,1
12,6340475,4714875,1
13,6340475,5060950,1
14,6340475,5407025,1
15,6340475,5751512,1
16,7594600,1803400,24
17,7854950,3679825,1
18,7931150,3332162,1
19,8131175,2646363,1
20,8350250,1960563,1
21,7826375,4713287,1
22,8293100,2303463,1
23,7740650,5741987,1
24,7835900,5056187,1
25,7854950,4370387,1
26,7864475,4027487,1
27,7769225,5399087,1
28,8035925,2989263,1
29,522287,1109662,17
30,6642100,1990725,13
31,6240462,1978025,1
32,6642100,2335213,13
33,6240462,2322513,1
34,121750,234864,1
35,174945,6232178,17
36,6642100,2681288,13
37,6240462,2670175,1
38,6642100,3025775,13
39,6240462,3014663,1
40,6642100,3370262,13
41,6240462,3359150,1
42,6642100,3716337,13
43,6240462,3705225,1
44,6642100,4062412,13
45,6240462,4049712,1
46,6642100,4406900,13
47,6240462,4394200,1
48,6642100,4752975,13
49,6240462,4741862,1
50,6642100,5097462,13
51,6240462,5086350,1
52,6642100,5441950,13
53,6240462,5430837,1
54,6642100,5789612,13
55,6240462,5776912,1
56,574675,1979613,1
57,574675,2395538,1
58,574675,2811463,1
59,574675,3227388,1
60,574675,3643312,1
61,574675,4059237,1
62,574675,4475162,1
63,574675,4891087,1
64,574675,5307012,1
65,574675,5722937,1
66,6140450,1109662,17
67,3346450,1109662,17
68,2070100,1803400,24
69,2254250,5708650,1
70,833437,3646487,1
71,833437,5630862,1
72,2330450,4879975,1
73,833437,5216525,1
74,2263775,5294312,1
75,833437,4392612,1
76,833437,4879975,1
77,833437,4060825,1
78,2339975,4470400,1
79,2349500,4060825,1
80,2768600,1993900,1
81,2473325,2408238,1
82,2368550,3646487,1
83,833437,2744788,1
84,2463800,2822575,1
85,2397125,3232150,1
86,833437,2330450,1
87,833437,1916113,1
88,833437,3154363,1
89,3406775,1979613,1
90,3406775,2395538,1
91,3406775,2811463,1
92,3406775,3227388,1
93,3406775,3643312,1
94,3406775,4059237,1
95,3406775,4475162,1
96,3406775,4891087,1
97,3406775,5307012,1
98,3406775,5722937,1
99,7673975,1495452,1
100,7673975,1819275,9
101,6340475,1652601,1
102,2146300,1489075,1
103,2146300,1819275,9
